1,2,3
-0.000124204,-0.000170067,-0.000141789
-0.000260136,-0.000310248,-0.000269765
-0.000747526,-0.00076935,-0.000735542
-0.001161734,-0.001134248,-0.001137872
-0.001093869,-0.001037125,-0.001089673
-0.00108869,-0.001034091,-0.001116943
-0.001202328,-0.001161361,-0.001244776
-0.001140714,-0.001113721,-0.001176046
-0.001078132,-0.001052617,-0.001088347
-0.001048352,-0.001016031,-0.001031166
-0.0009998,-0.000964732,-0.000968533
-0.000900538,-0.000871387,-0.000870527
-0.000847454,-0.000824602,-0.000821679
-0.000931107,-0.000905997,-0.000902196
-0.001293372,-0.001260054,-0.001259735
-0.001418789,-0.001387309,-0.00139841
-0.001123373,-0.001122436,-0.001144897
-0.000339388,-0.00038433,-0.000401218
0.000111887,1.84E-05,3.65E-05
0.000148205,2.99E-05,9.48E-05
-0.001031809,-0.001124393,-0.001046575
-0.001526848,-0.001553806,-0.001514569
-0.001303488,-0.001280666,-0.001285737
-0.001378626,-0.001310125,-0.001329049
-0.001388934,-0.001310851,-0.001315874
-0.001453878,-0.001394969,-0.001391695
-0.001171269,-0.001131753,-0.001140327
-0.001328947,-0.001275398,-0.001299916
-0.001572778,-0.001496834,-0.001521455
-0.001492155,-0.001418083,-0.001427655
-0.001383288,-0.001320532,-0.001319038
-0.0010937,-0.001036713,-0.001038884
-0.000736305,-0.000686222,-0.000693252
-1.73E-05,2.81E-05,3.53E-05
0.000211751,0.00025871,0.000304166
-6.05E-05,1.83E-05,9.86E-05
-0.00153888,-0.001402064,-0.001329264
-0.001711676,-0.001558074,-0.001529964
-0.001187092,-0.001092589,-0.001100901
-0.001435962,-0.001354131,-0.001380014
-0.001466558,-0.001378807,-0.001400224
-0.001084142,-0.000993004,-0.000997249
-0.000411347,-0.000322271,-0.000303834
-0.000207135,-0.000121505,-7.63E-05
-0.000252828,-0.000170017,-9.89E-05
-0.000775222,-0.000688183,-0.000604275
-0.000960158,-0.000856651,-0.000777949
-0.000944127,-0.000816658,-0.000749984
-0.000915729,-0.000756787,-0.000696286
-0.000977974,-0.000795441,-0.000731099
-0.001079443,-0.000879146,-0.000813255
-0.001205096,-0.000991021,-0.000936098
-0.000990326,-0.000781035,-0.000736264
-0.000744324,-0.000549501,-0.000495973
-0.000697624,-0.000505179,-0.000424941
-0.000609118,-0.000412044,-0.000298219
-0.000562173,-0.000352899,-0.000212284
-0.000736848,-0.000501885,-0.000353264
-0.000833871,-0.000570481,-0.000431678
-0.000723115,-0.000449445,-0.00031952
-0.000433301,-0.000160684,-2.57E-05
-0.000493003,-0.00021791,-6.66E-05
-0.000281756,4.98E-06,0.000173378
-0.000219695,6.45E-05,0.000244873
0.000559173,0.000825777,0.001016903
0.000970393,0.001196301,0.001412995
0.001246215,0.001476745,0.001722259
-0.000702248,-0.000385038,-0.000149563
-0.000847002,-0.000417557,-0.00023778
-0.000763499,-0.000324029,-0.000185939
-0.001793432,-0.001297318,-0.001188314
-0.001941038,-0.001447747,-0.001340246
-0.001797379,-0.001332552,-0.001206273
-0.001308744,-0.00085502,-0.000709604
-0.001335076,-0.000882118,-0.000726215
-0.00067269,-0.000253307,-8.54E-05
-0.000871857,-0.000485997,-0.000307881
-0.001282994,-0.000900154,-0.000719994
-0.001344799,-0.000970971,-0.000790855
-0.001228336,-0.000876175,-0.000694914
-0.00105239,-0.000727726,-0.000546451
-0.000940282,-0.000638316,-0.000459836
-0.000765274,-0.00047104,-0.000293986
-0.000824719,-0.00051404,-0.00033594
-0.001286451,-0.000926486,-0.000754507
-0.001803963,-0.001400947,-0.001245795
-0.00180818,-0.001416291,-0.00127248
-0.001938985,-0.001575617,-0.001435009
-0.002328708,-0.001971007,-0.001831793
-0.002205626,-0.001860717,-0.001719012
-0.001972851,-0.00164795,-0.001504277
